LeBron James, 1822, 41, 75, 589, 38, 206, 4, 4
Kevin Durant, 2032, 41, 86, 378, 91, 211, 2, 1
Stephen Curry, 1956, 41, 92, 379, 28, 191, 4, 2
Jayson Tatum, 1987, 38, 83, 364, 43, 203, 1, 1
Ben Simmons, 92, 0, 40, 86, 9, 208, 0, 0
Og Anunoby, 325, 39, 79, 35, 23, 201, 0, 0
Joel Embiid, 1353, 39, 88, 219, 66, 213, 0, 1
Immanuel Quickley, 706, 40, 84, 257, 7, 191, 0, 0
Zach Lavine, 487, 35, 85, 98, 8, 196, 0, 0
Darius Garland, 1028, 37, 83, 373, 7, 185, 0, 0
Isaiah Stewart, 503, 38, 75, 73, 38, 206, 0, 0
Tyrese Haliburton, 1389, 36, 86, 752, 48, 196, 0, 0
Giannis Antetokounmpo, 2222, 27, 68, 476, 79, 211, 1, 2
Trae Young, 1389, 37, 86, 583, 11, 185, 0, 0
Lamelo Ball, 526, 36, 87, 176, 4, 201, 0, 0
Jimmy Butler, 1246, 41, 86, 298, 17, 201, 0, 0
Jonathan Isaac, 393, 38, 72, 30, 70, 208, 0, 0
Jordan Poole, 1356, 33, 88, 343, 25, 193, 1, 0
Nikola Jokic, 2085, 36, 82, 708, 68, 213, 1, 3
Anthony Edwards, 2049, 36, 84, 405, 42, 193, 0, 0
Shai Gilgeous-Alexander, 2254, 35, 87, 465, 67, 198, 0, 0
Deandre Ayton, 920, 10, 82, 90, 42, 211, 0, 0
Laurie Markkanen, 1278, 40, 90, 110, 26, 213, 0, 0
